candidate_id,image_file,group,source_id,severity,label,wrong_label,realism,class_probability,class_correct,composite_quality,direct_energy,direct_energy_zero_anchored,dot_energy,dot_energy_zero_anchored,base_field_norm
0,images/0000_real.png,real,41468,0.0,829,False,0.3494648337364197,0.4874544143676758,True,0.7294761532447225,-5282.701171875,-2449.319091796875,-2678.043701171875,-2678.043701171875,8.183605194091797
1,images/0001_real.png,real,29514,0.0,590,False,0.47538647055625916,0.3472585678100586,True,0.9577795152462861,-8903.11328125,-5767.3017578125,-6590.8466796875,-6590.8466796875,17.544607162475586
2,images/0002_real.png,real,36951,0.0,739,False,0.33402198553085327,0.548495888710022,True,0.6837372947615324,-4728.3974609375,-2177.728759765625,-2638.202392578125,-2638.202392578125,26.15284538269043
3,images/0003_real.png,real,35529,0.0,710,False,0.26456794142723083,0.005951956380158663,False,0.436278342455043,-3572.126953125,-431.9453125,-1036.470703125,-1036.470703125,20.397750854492188
4,images/0004_real.png,real,39027,0.0,780,False,0.564328670501709,0.2576052248477936,True,0.9675527756059421,-6608.1669921875,-3112.48095703125,-3679.195068359375,-3679.195068359375,12.152179718017578
5,images/0005_real.png,real,25428,0.0,508,False,0.4261853098869324,0.3367464542388916,True,0.9417513682564504,-6969.60498046875,-3743.610595703125,-4412.94775390625,-4412.94775390625,8.469624519348145
6,images/0006_real.png,real,42304,0.0,846,False,0.2559144198894501,0.34838101267814636,True,0.5203283815480845,-8072.72705078125,-4893.44140625,-5654.6953125,-5654.6953125,12.963193893432617
7,images/0007_real.png,real,35299,0.0,705,False,0.20762555301189423,0.0066296751610934734,False,0.4034401876465989,-5033.92529296875,-2030.71044921875,-2320.750732421875,-2320.750732421875,14.810153007507324
8,images/0008_real.png,real,30439,0.0,608,False,0.3716554343700409,0.11081654578447342,True,0.7924159499609069,-4755.27783203125,-1589.95849609375,-1991.9228515625,-1991.9228515625,12.83348274230957
9,images/0009_real.png,real,4134,0.0,82,False,0.2139570266008377,0.4885285496711731,True,0.5054730258014073,-3579.7451171875,-593.38037109375,-1055.662841796875,-1055.662841796875,16.372846603393555
10,images/0010_real.png,real,37986,0.0,759,False,0.2854739725589752,0.5445042252540588,True,0.5742767787333855,-7114.81201171875,-3588.0849609375,-3987.189453125,-3987.189453125,10.737232208251953
11,images/0011_real.png,real,36633,0.0,732,False,0.2726899981498718,0.5383228659629822,True,0.5547302580140735,-8050.94140625,-4653.44140625,-5180.39404296875,-5180.39404296875,12.437190055847168
12,images/0012_real.png,real,41576,0.0,831,False,0.656463623046875,0.4057064950466156,True,0.9808444096950742,-6124.67578125,-3076.1689453125,-3733.50341796875,-3733.50341796875,13.251325607299805
13,images/0013_real.png,real,28328,0.0,566,False,0.1747145652770996,0.6711821556091309,True,0.5011727912431587,-3570.1826171875,-812.045166015625,-1234.595947265625,-1234.595947265625,13.55235767364502
14,images/0014_real.png,real,24266,0.0,485,False,0.48020631074905396,0.07239390909671783,False,0.9339327599687255,-6024.82275390625,-2931.84033203125,-3658.521728515625,-3658.521728515625,10.38943099975586
