candidate_id,image_file,group,source_id,severity,label,wrong_label,realism,class_probability,class_correct,composite_quality,direct_energy,direct_energy_zero_anchored,dot_energy,dot_energy_zero_anchored,base_field_norm
0,images/0000_real.png,real,34759,0.0,695,False,0.3683372437953949,0.5211561918258667,True,0.9210320562939797,-12120.8828125,-9410.4951171875,-9614.224609375,-9614.224609375,8.218484878540039
1,images/0001_real.png,real,33300,0.0,666,False,0.5094087719917297,0.16297025978565216,True,0.944487881157154,-14753.0888671875,-11946.052734375,-12710.701171875,-12710.701171875,9.845072746276855
2,images/0002_real.png,real,34345,0.0,686,False,0.6828656196594238,0.3415072560310364,True,0.972243940578577,-3925.87060546875,-1009.806640625,-1687.1038818359375,-1687.1038818359375,25.834545135498047
3,images/0003_real.png,real,15357,0.0,307,False,0.4563083350658417,0.37104618549346924,True,0.9468334636434714,-6490.54541015625,-3281.408203125,-3840.29638671875,-3840.29638671875,9.916407585144043
4,images/0004_real.png,real,5944,0.0,118,False,0.517914891242981,0.270933598279953,True,0.955824863174355,-5348.640625,-2667.319091796875,-3016.87353515625,-3016.87353515625,8.832825660705566
5,images/0005_real.png,real,17372,0.0,347,False,0.42775455117225647,0.5014231204986572,True,0.9472243940578577,-5192.0166015625,-2040.478759765625,-2354.91259765625,-2354.91259765625,14.228906631469727
6,images/0006_real.png,real,39617,0.0,792,False,0.26167646050453186,0.5179776549339294,True,0.8408913213448006,-2631.797607421875,-291.408935546875,-814.5526123046875,-814.5526123046875,31.363330841064453
7,images/0007_real.png,real,34249,0.0,684,False,0.23896735906600952,0.3812965750694275,True,0.7857701329163409,-5035.8251953125,-2188.44287109375,-2951.231689453125,-2951.231689453125,12.984573364257812
8,images/0008_real.png,real,8651,0.0,173,False,0.41572335362434387,0.3695051670074463,True,0.9308053166536356,-5980.06640625,-3166.70654296875,-3462.105712890625,-3462.105712890625,13.486449241638184
9,images/0009_real.png,real,24775,0.0,495,False,0.30910199880599976,0.5857388973236084,True,0.9018764659890539,-4866.3232421875,-1756.43408203125,-2252.57373046875,-2252.57373046875,20.90900421142578
