candidate_id,image_file,group,source_id,severity,label,wrong_label,realism,class_probability,class_correct,composite_quality,direct_energy,direct_energy_zero_anchored,dot_energy,dot_energy_zero_anchored,base_field_norm
0,images/0000_real.png,real,17150,0.0,343,False,0.4560575485229492,0.022022956982254982,False,0.9038311180609852,-3206.10595703125,-247.90771484375,-522.4728393554688,-522.4728393554688,9.900590896606445
1,images/0001_real.png,real,11728,0.0,234,False,0.6366731524467468,0.4483742117881775,True,0.9843627834245504,-5104.51171875,-2000.453369140625,-2385.980712890625,-2385.980712890625,11.001470565795898
2,images/0002_real.png,real,43251,0.0,865,False,0.3794712722301483,0.2612568736076355,True,0.9245504300234558,-3551.697509765625,-937.4873046875,-1463.450927734375,-1463.450927734375,23.5493106842041
3,images/0003_real.png,real,16597,0.0,331,False,0.6506664156913757,0.36192336678504944,True,0.9816262705238468,-4327.01904296875,-1290.06201171875,-1771.855224609375,-1771.855224609375,10.431069374084473
4,images/0004_real.png,real,31060,0.0,621,False,0.3524158000946045,0.6395554542541504,True,0.9327599687255669,-4055.385498046875,-1475.557861328125,-1832.3563232421875,-1832.3563232421875,16.031740188598633
5,images/0005_real.png,real,31374,0.0,627,False,0.2908780872821808,0.05970725417137146,False,0.8295543393275997,-5699.19873046875,-2786.474609375,-3177.893310546875,-3177.893310546875,11.52005672454834
6,images/0006_real.png,real,28500,0.0,570,False,0.27899524569511414,0.20055656135082245,True,0.8346364347146209,-9743.248046875,-6995.9501953125,-7720.814453125,-7720.814453125,8.514135360717773
7,images/0007_real.png,real,4138,0.0,82,False,0.20049640536308289,0.4446395933628082,True,0.5633307271305708,-3481.95947265625,-495.5947265625,-924.9483642578125,-924.9483642578125,15.886370658874512
8,images/0008_real.png,real,1450,0.0,29,False,0.33117780089378357,0.3744603991508484,True,0.9057857701329164,-6096.7568359375,-2828.80859375,-3253.5029296875,-3253.5029296875,16.2354679107666
9,images/0009_real.png,real,25737,0.0,514,False,0.2480221837759018,0.02669215016067028,False,0.6919468334636434,-3256.779296875,-537.38525390625,-995.8975219726562,-995.8975219726562,15.203116416931152
10,images/0010_real.png,real,10291,0.0,205,False,0.43969717621803284,0.11210650950670242,True,0.9331508991399531,-4453.81201171875,-1395.67236328125,-1652.714111328125,-1652.714111328125,16.1769962310791
11,images/0011_real.png,real,48399,0.0,967,False,0.15949563682079315,0.34241732954978943,True,0.4867083659108679,-6749.2958984375,-3666.87744140625,-4090.19091796875,-4090.19091796875,15.048493385314941
12,images/0012_real.png,real,15865,0.0,317,False,0.3385642468929291,0.5310114622116089,True,0.9218139171227522,-6571.0693359375,-3427.02490234375,-3891.3076171875,-3891.3076171875,22.940893173217773
13,images/0013_real.png,real,11390,0.0,227,False,0.3463243842124939,0.38912132382392883,True,0.9151681000781862,-4872.388671875,-1894.210205078125,-2236.5791015625,-2236.5791015625,13.359757423400879
14,images/0014_real.png,real,33665,0.0,673,False,0.31286096572875977,0.023781899362802505,False,0.8291634089132134,-6600.7119140625,-3589.10693359375,-4493.67041015625,-4493.67041015625,11.859001159667969
15,images/0015_real.png,real,20012,0.0,400,False,0.4056311547756195,0.14365479350090027,False,0.9272869429241595,-4526.197265625,-1715.60302734375,-2138.3955078125,-2138.3955078125,11.93723201751709
